YEAR,PLAYER,AVERAGE
2015,Charley Hoffman,298.9
2015,Hudson Swafford,298.9
2015,Louis Oosthuizen,298.8
2015,Graham DeLaet,298.7
2015,Harris English,298.4
2015,Carlos Ortiz,298.4
2015,Paul Casey,297.8
2015,Russell Henley,297.1
2015,Robert Streb,297.1
2015,Lucas Glover,296.9
2015,Martin Flores,296.8
2015,Rickie Fowler,296.8
2015,Scott Piercy,296.7
2015,Will Wilcox,296.6
2015,Henrik Stenson,296.4
2015,Shawn Stefani,296.3
2015,Morgan Hoffmann,296.1
2015,Matt Jones,296
2015,Sean O'Hair,295.3
2015,Andres Romero,295.3
2015,Alex Prugh,295.2
2015,Derek Ernst,295.1
2015,James Hahn,295.1
2015,Hunter Mahan,295.1
2015,Billy Horschel,295
2015,Jamie Donaldson,294.9
2015,Marc Leishman,294.8
2015,Davis Love III,294.7
2015,Andres Gonzales,294.5
2015,Hideki Matsuyama,294.5
2015,Max Homa,294.2
2015,Aaron Baddeley,294.1
2015,Nick Watney,294
2015,Jim Herman,293.8
2015,Greg Owen,293.8
2015,Geoff Ogilvy,293.7
2015,Stewart Cink,293.6
2015,Roger Sloan,293.6
2015,Kevin Chappell,293.5
2015,Sam Saunders,293.2
2015,Patrick Reed,292.9
2015,Seung-Yul Noh,292.7
2015,Retief Goosen,292.6
2015,J.J. Henry,292.3
2015,Nick Taylor,292.3
2015,Tom Hoge,292.2
2015,Camilo Villegas,292.2
2015,Boo Weekley,292
2015,Byron Smith,291.9
2015,Jordan Spieth,291.8
2015,Scott Stallings,291.8
2015,Ernie Els,291.7
2015,Carl Pettersson,291.6
2015,Bill Haas,290.7
2015,Chesson Hadley,290.7
2015,Johnson Wagner,290.7
2015,Vijay Singh,290.6
2015,Padraig Harrington,290.5
2015,Jason Gore,290.4
2015,Scott Pinckney,290.3
2015,John Senden,290.2
2015,Cameron Percy,290
2015,Rory Sabbatini,290
2015,Sangmoon Bae,289.8
2015,Oscar Fraustro,289.5
2015,David Lingmerth,289.5
2015,Kevin Streelman,289.5
2015,Bo Van Pelt,289.5
2015,Webb Simpson,289.4
2015,Gonzalo Fernandez-Castaño,289.3
2015,Michael Thompson,289.3
2015,Ryo Ishikawa,289.2
2015,Derek Fathauer,288.8
2015,Michael Putnam,288.8
2015,Blayne Barber,288.6
2015,Matt Kuchar,288.5
2015,Erik Compton,288.4
2015,Brandt Snedeker,288.4
2015,Steve Wheatcroft,288.3
2015,Scott Brown,288.2
2015,Adam Hadwin,288.2
2015,Ben Martin,288.1
2015,John Peterson,288.1
2015,Kyle Reifers,288
2015,Brian Harman,287.9
2015,Kevin Kisner,287.8
2015,Bill Lunde,287.7
2015,Jonas Blixt,287.6
2015,Jonathan Byrd,287.5
2015,Jonathan Randolph,287.2
2015,Brice Garnett,287.1
2015,Andrew Svoboda,287.1
2015,Jason Dufner,286.7
2015,Ian Poulter,286.7
2015,Matt Every,286.6
2015,Eric Axley,286.4
2015,Chez Reavie,286.3
2015,George McNeill,286.2
2015,Nicholas Thompson,286
2015,Chris Kirk,285.8
2015,Tyrone Van Aswegen,285.6
2015,Brendon de Jonge,285.3
2015,Chad Campbell,285.2
2015,Troy Merritt,285.2
2015,John Merrick,285
2015,Jeff Overton,284.8
2015,Pat Perez,284.6
2015,Russell Knox,284.4
2015,Daniel Summerhays,284
2015,Luke Guthrie,283.9
2015,Spencer Levin,283.7
2015,Sung Joon Park,283.7
2015,Ricky Barnes,283.3
2015,Alex Cejka,283.3
2015,Jim Renner,283.3
2015,Fabián Gómez,283.2
2015,Danny Lee,283.1
2015,Chris Stroud,283
2015,Robert Allenby,282.7
2015,Zach Johnson,282.6
2015,Ryan Moore,282.6
2015,Whee Kim,282.4
2015,Jim Furyk,281.9
2015,Cameron Tringale,281.8
2015,Francesco Molinari,281.6
2015,Greg Chalmers,281.5
2015,D.A. Points,280.8
2015,David Hearn,280.6
2015,Scott Langley,280.5
2015,William McGirt,280.4
2015,Kevin Na,280.1
2015,Roberto Castro,279.8
2015,John Huh,279.8
2015,Mark Wilson,279.2
2015,Tim Wilkinson,279.1
2015,Andrew Putnam,278.7
2015,Mark Hubbard,278.5
2015,Chad Collins,278.4
2015,Steven Alker,278.3
2015,Ken Duke,278.1
2015,Bryce Molder,277.9
2015,Jerry Kelly,277.2
2015,Jason Bohn,277.1
2015,Luke Donald,277
2015,Colt Knost,276.6
2015,K.J. Choi,276.5
2015,Brian Stuard,276.5
2015,Brendon Todd,276.4
2015,Heath Slocum,275.8
2015,Brian Davis,275.5
2015,Jon Curran,273.5
2015,Zac Blair,273.1
2015,Billy Hurley III,271.9
2015,Justin Leonard,271.6
2015,Ben Crane,271
2015,David Toms,270
2014,Bubba Watson,314.3
2014,Dustin Johnson,311
2014,Rory McIlroy,310.5
2014,J.B. Holmes,308
2014,Andrew Loupe,308
2014,Brooks Koepka,307
2014,Robert Garrigus,306.1
2014,Jhonattan Vegas,304.8
2014,Charles Howell III,304.1
2014,Gary Woodland,304.1
2014,Charlie Beljan,303.8
2014,Ángel Cabrera,303.7
2014,Adam Scott,303.5
2014,Graham DeLaet,303.4
2014,Jason Kokrak,303.4
2014,Jamie Lovemark,302.4
2014,Keegan Bradley,302.2
2014,Jason Day,301.2
2014,Jimmy Walker,301
2014,Lucas Glover,300.6
2014,Sean O'Hair,300.5
2014,Louis Oosthuizen,300.5
2014,Ryan Palmer,300.4
2014,Scott Stallings,300.4
2014,Robert Streb,300
2014,Harris English,299.2
2014,Charley Hoffman,299.2
2014,Brendan Steele,298.9
2014,Steven Bowditch,298.1
2014,Charl Schwartzel,297.8
2014,Shawn Stefani,297.7
2014,Marc Leishman,297.6
2014,Rickie Fowler,297.5
2014,Kyle Stanley,297.5
2014,Hudson Swafford,297.5
2014,Will Wilcox,297.3
2014,Martin Laird,297.2
2014,Derek Ernst,297
2014,Troy Matteson,296.7
2014,Seung-Yul Noh,296.5
2014,Matt Jones,296.3
2014,Davis Love III,296.3
2014,Kevin Chappell,296.2
2014,Martin Flores,296
2014,Hunter Mahan,295.8
2014,Nick Watney,295.8
2014,Carl Pettersson,295.5
2014,Morgan Hoffmann,295.4
2014,Justin Rose,295.1
2014,Martin Kaymer,294.9
2014,Hideki Matsuyama,294.8
2014,Jim Herman,294.7
2014,Andres Romero,294.6
2014,Josh Teater,294.6
2014,Kevin Tway,294.5
2014,Brad Fritsch,294.4
2014,Sergio Garcia,294.3
2014,Rory Sabbatini,294.2
2014,Tommy Gainey,294
2014,Aaron Baddeley,293.8
2014,Stewart Cink,293.7
2014,Russell Henley,293.7
2014,Bud Cauley,293.4
2014,Henrik Stenson,293.2
2014,Paul Casey,293
2014,Michael Putnam,293
2014,Wes Roach,293
2014,Geoff Ogilvy,292.5
2014,Camilo Villegas,292.5
2014,Phil Mickelson,292.4
2014,Patrick Reed,292.3
2014,Lee Westwood,292.3
2014,Bill Haas,291.9
2014,Trevor Immelman,291.8
2014,Ben Martin,291.7
2014,Billy Horschel,291.6
2014,Kevin Stadler,291.6
2014,Bo Van Pelt,291.3
2014,Ernie Els,291.2
2014,Ryo Ishikawa,291
2014,Chris Kirk,291
2014,Ricky Barnes,290.7
2014,J.J. Henry,290.7
2014,Chesson Hadley,290.6
2014,Will MacKenzie,290.6
2014,John Rollins,290.1
2014,Tyrone Van Aswegen,290
2014,David Lingmerth,289.8
2014,Vijay Singh,289.7
2014,Jordan Spieth,289.7
2014,James Hahn,289.6
2014,Brice Garnett,289.3
2014,Michael Thompson,289.2
2014,Brian Harman,289
2014,John Senden,288.9
2014,Retief Goosen,288.8
2014,Kevin Streelman,288.6
2014,Sangmoon Bae,288.5
2014,Webb Simpson,288.5
2014,Boo Weekley,288.3
2014,Jim Renner,288.2
2014,Jonathan Byrd,288.1
2014,Gonzalo Fernandez-Castaño,288.1
2014,John Peterson,288.1
2014,Ian Poulter,288.1
2014,Brendon de Jonge,287.9
2014,Chad Campbell,287.8
2014,Kevin Kisner,287.8
2014,Luke Guthrie,287.6
2014,Jeff Overton,287.5
2014,Andrew Svoboda,287.4
2014,Scott Brown,287.2
2014,Johnson Wagner,287.1
2014,Nicholas Thompson,287
2014,Pat Perez,286.4
2014,Matt Every,286.3
2014,Jonas Blixt,286.1
2014,George McNeill,286.1
2014,Chris Stroud,285.8
2014,Russell Knox,285.7
2014,Brandt Snedeker,285.6
2014,Jason Dufner,285.3
2014,John Merrick,285.3
2014,Troy Merritt,285.2
2014,Justin Hicks,285.1
2014,Richard Lee,285.1
2014,Robert Allenby,284.9
2014,Bronson La'Cassie,284.9
2014,Ryan Moore,284.7
2014,Freddie Jacobson,284.6
2014,D.A. Points,284.5
2014,James Driscoll,284.2
2014,Danny Lee,284.2
2014,Roberto Castro,283.9
2014,John Huh,283.9
2014,Matt Kuchar,283.8
2014,Brian Stuard,283.4
2014,Erik Compton,283.3
2014,Cameron Tringale,282.9
2014,Tim Wilkinson,282.4
2014,Zach Johnson,282.2
2014,Daniel Summerhays,282.2
2014,Y.E. Yang,281.9
2014,Briny Baird,281.6
2014,Scott Langley,281.3
2014,Charlie Wi,281
2014,Greg Chalmers,280.7
2014,Kevin Na,280.3
2014,Brendon Todd,280.3
2014,Spencer Levin,280.1
2014,Jason Bohn,280
2014,K.J. Choi,279.8
2014,Mark Wilson,279.6
2014,Ben Curtis,279.5
2014,Jim Furyk,279.3
2014,David Hearn,279.1
2014,Ben Crane,279
2014,Bryce Molder,278.7
2014,Stuart Appleby,278.6
2014,Woody Austin,278.5
2014,William McGirt,278.5
2014,"Ted Potter, Jr.",278.4
2014,Brian Davis,278.2
2014,Luke Donald,278.1
2014,Graeme McDowell,278
2014,Heath Slocum,277.8
2014,Jerry Kelly,277.5
2014,Billy Hurley III,276.7
2014,Jeff Maggert,276.6
2014,D.H. Lee,276.2
2014,Ken Duke,275.5
2014,Chad Collins,275.4
2014,David Toms,275.1
2014,Tim Clark,272.2
2014,Brian Gay,271.6
2014,Mike Weir,271.2
2014,Justin Leonard,270.3
2013,Luke List,306.3
2013,Dustin Johnson,305.8
2013,Nicolas Colsaerts,305.7
2013,Gary Woodland,303.8
2013,Bubba Watson,303.7
2013,Jason Kokrak,303.2
2013,Robert Garrigus,302.4
2013,Rory McIlroy,302.2
2013,Eric Meierdierks,301.9
2013,Ryan Palmer,301.5
2013,Keegan Bradley,300.6
2013,Martin Flores,300.4
2013,Steven Bowditch,300.2
2013,Sean O'Hair,299.7
2013,Tag Ridings,299.6
2013,Jason Day,299.3
2013,Jim Herman,299.2
2013,Seung-Yul Noh,298.8
2013,Graham DeLaet,298.6
2013,Jimmy Walker,298.5
2013,Scott Piercy,298.2
2013,Kyle Stanley,298.1
2013,Adam Scott,297.8
2013,Robert Streb,297.7
2013,Shawn Stefani,297.2
2013,Brad Fritsch,297
2013,Justin Rose,296.6
2013,Bobby Gates,296.2
2013,Charl Schwartzel,296.1
2013,Scott Stallings,295.7
2013,John Rollins,295.6
2013,Charlie Beljan,295.4
2013,Morgan Hoffmann,295.4
2013,Peter Hanson,295.3
2013,Harris English,295.2
2013,Henrik Norlander,295
2013,Charles Howell III,294.8
2013,Steve LeBrun,294.1
2013,Troy Matteson,294.1
2013,Ángel Cabrera,294
2013,Charley Hoffman,294
2013,Billy Horschel,293.8
2013,Lucas Glover,293.7
2013,Josh Teater,293.7
2013,Cameron Percy,293.6
2013,Martin Laird,293.4
2013,D.J. Trahan,293.4
2013,James Hahn,293.3
2013,Tiger Woods,293.2
2013,Andres Romero,293.1
2013,Rory Sabbatini,293.1
2013,Kevin Chappell,292.9
2013,Greg Owen,292.8
2013,Erik Compton,292.7
2013,Jeff Overton,292.4
2013,Matt Jones,292.3
2013,Brandt Jobe,292.1
2013,Patrick Reed,292
2013,Camilo Villegas,291.8
2013,Nicholas Thompson,291.6
2013,Derek Ernst,291.5
2013,Ryo Ishikawa,291.3
2013,Nick Watney,291.2
2013,Tommy Gainey,291
2013,Sergio Garcia,291
2013,Henrik Stenson,290.9
2013,Boo Weekley,290.9
2013,Brendan Steele,290.7
2013,Lee Westwood,290.3
2013,Carl Pettersson,290.2
2013,Pat Perez,290.1
2013,Andrew Svoboda,290.1
2013,Stewart Cink,290
2013,Hunter Mahan,290
2013,Kevin Stadler,289.8
2013,Vaughn Taylor,289.8
2013,Ernie Els,289.6
2013,Scott Brown,289.5
2013,Fabián Gómez,289.5
2013,Ricky Barnes,289.4
2013,Jordan Spieth,289.4
2013,John Senden,289.3
2013,Russell Henley,289
2013,Chris Kirk,289
2013,Chad Campbell,288.9
2013,Aaron Baddeley,288.5
2013,Scott Gardiner,288.4
2013,Martin Kaymer,288.4
2013,Padraig Harrington,288.3
2013,Bill Haas,288.2
2013,Matt Every,288.1
2013,Vijay Singh,288.1
2013,Phil Mickelson,287.9
2013,Bud Cauley,287.5
2013,Brian Harman,287.5
2013,Kevin Streelman,287.5
2013,Freddie Jacobson,287.3
2013,Robert Karlsson,287.2
2013,Cameron Tringale,287.2
2013,James Driscoll,287.1
2013,Y.E. Yang,286.7
2013,Marc Leishman,286.6
2013,Rickie Fowler,286.4
2013,Brendon de Jonge,286.3
2013,Tom Gillis,286.3
2013,George McNeill,286
2013,Jason Dufner,285.9
2013,Bo Van Pelt,285.9
2013,David Lingmerth,285.8
2013,Daniel Summerhays,285.7
2013,Webb Simpson,285.4
2013,Sangmoon Bae,285.3
2013,Michael Bradley,285.3
2013,Geoff Ogilvy,285.1
2013,Bob Estes,285
2013,Robert Allenby,284.9
2013,Will Claxton,284.9
2013,Matt Kuchar,284.9
2013,Stuart Appleby,284.7
2013,J.J. Henry,284.7
2013,Alistair Presnell,284.6
2013,John Merrick,284.3
2013,Jonas Blixt,283.7
2013,Tim Herron,283.6
2013,Trevor Immelman,283.6
2013,Steve Stricker,283.6
2013,Luke Guthrie,283.5
2013,Chez Reavie,282.8
2013,Rod Pampling,282.6
2013,Roberto Castro,282.3
2013,Ryan Moore,282.3
2013,Charlie Wi,282.1
2013,John Huh,282
2013,William McGirt,281.8
2013,Brian Stuard,281.8
2013,Ian Poulter,281.7
2013,Brandt Snedeker,281.3
2013,D.A. Points,281.1
2013,Ben Crane,281
2013,D.H. Lee,280.9
2013,Stephen Ames,280.7
2013,David Mathis,280.6
2013,Casey Wittenberg,280.5
2013,"Ted Potter, Jr.",280.3
2013,Doug LaBelle II,280.1
2013,Justin Hicks,280
2013,David Hearn,279.7
2013,Michael Thompson,279.4
2013,Justin Bolli,279.1
2013,Richard Lee,279.1
2013,Ben Kohles,279
2013,Scott Langley,278.9
2013,Brian Davis,278.8
2013,Zach Johnson,278.8
2013,Johnson Wagner,278.6
2013,K.J. Choi,278.3
2013,Luke Donald,278.1
2013,Mark Wilson,278
2013,David Lynn,277.9
2013,Jeff Maggert,277.6
2013,Graeme McDowell,277.5
2013,David Toms,277.4
2013,Aaron Watkins,277.1
2013,Chris Stroud,277
2013,Greg Chalmers,276.8
2013,Jason Bohn,276.3
2013,Justin Leonard,276.3
2013,Lee Williams,275.6
2013,Jim Furyk,275.3
2013,Ken Duke,275.1
2013,Brian Gay,275.1
2013,Darron Stiles,275.1
2013,Ben Curtis,274.9
2013,Dicky Pride,274.8
2013,Tim Clark,273.9
2013,Bryce Molder,273.8
2013,Jerry Kelly,273.2
2013,Jin Park,273.2
2013,Colt Knost,271.7
2013,Mike Weir,270.5
2012,Bubba Watson,315.5
2012,Charlie Beljan,311.6
2012,Robert Garrigus,310.3
2012,Dustin Johnson,310.2
2012,Rory McIlroy,310.1
2012,J.B. Holmes,309.7
2012,Jason Day,308.6
2012,Kyle Stanley,306.9
2012,John Daly,306.7
2012,Adam Scott,304.6
2012,Jhonattan Vegas,304.6
2012,Scott Piercy,304.5
2012,Graham DeLaet,304.3
2012,Jason Kokrak,304.1
2012,Ryan Palmer,303.1
2012,Keegan Bradley,302.7
2012,Scott Stallings,302.4
2012,Gary Woodland,301.6
2012,Seung-Yul Noh,300.4
2012,Harris English,300.3
2012,Bobby Gates,300.2
2012,Ángel Cabrera,299.7
2012,Troy Kelly,299.5
2012,Louis Oosthuizen,299.5
2012,Brandt Jobe,299.2
2012,Troy Matteson,298.9
2012,Josh Teater,298.6
2012,Martin Laird,298.2
2012,Lee Westwood,298.1
2012,Harrison Frazar,297.7
2012,Sean O'Hair,297.5
2012,Tiger Woods,297.4
2012,Erik Compton,297.2
2012,Tommy Gainey,297.2
2012,Carl Pettersson,297.1
2012,Nick Watney,296.8
2012,Boo Weekley,296.8
2012,Jimmy Walker,296.5
2012,Davis Love III,296.3
2012,Bo Van Pelt,296.1
2012,Greg Owen,295.9
2012,Charl Schwartzel,295.8
2012,Mark Anderson,295.7
2012,Daniel Chopra,295.6
2012,Edward Loar,295.6
2012,Charley Hoffman,295.5
2012,John Rollins,295.4
2012,Vijay Singh,295.4
2012,Martin Flores,295
2012,Robert Karlsson,294.7
2012,Ernie Els,294.6
2012,Charles Howell III,294.6
2012,Phil Mickelson,294.4
2012,Chris Couch,293.8
2012,Matt Jones,293.7
2012,Garth Mulroy,293.7
2012,Padraig Harrington,293.6
2012,Kevin Chappell,293.3
2012,John Merrick,293.3
2012,Rickie Fowler,293.2
2012,Hunter Mahan,293.1
2012,Kevin Stadler,292.9
2012,Kevin Streelman,292.8
2012,Jason Dufner,292.4
2012,Sergio Garcia,292.4
2012,Bill Haas,292.2
2012,D.J. Trahan,292.2
2012,Aaron Baddeley,292
2012,Ricky Barnes,292
2012,Jeff Overton,292
2012,Andres Romero,292
2012,Danny Lee,291.9
2012,Chris Kirk,291.8
2012,Bud Cauley,291.6
2012,Stephen Gangluff,291.5
2012,Pat Perez,291.5
2012,Scott Brown,291.2
2012,James Driscoll,291.1
2012,John Senden,291
2012,Trevor Immelman,290.9
2012,Justin Rose,290.9
2012,Mathew Goggin,290.8
2012,Roberto Castro,290.6
2012,Bill Lunde,290.5
2012,Will Claxton,290.4
2012,Cameron Tringale,290.4
2012,Brian Harman,290.3
2012,Camilo Villegas,290.3
2012,Billy Horschel,290.2
2012,Chad Campbell,290.1
2012,Geoff Ogilvy,290.1
2012,Ryo Ishikawa,290
2012,Kyle Reifers,290
2012,J.J. Killeen,289.9
2012,Sangmoon Bae,289.8
2012,Jonathan Byrd,289.5
2012,Miguel Angel Carballo,289.5
2012,Henrik Stenson,289.5
2012,Tim Herron,289.4
2012,Marc Leishman,289.4
2012,Daniel Summerhays,289.3
2012,Derek Lamely,289.1
2012,Tom Gillis,289
2012,Roland Thatcher,288.9
2012,Stewart Cink,288.8
2012,Brendon de Jonge,288.8
2012,George McNeill,288.8
2012,Rod Pampling,288.8
2012,Brendan Steele,288.8
2012,Brandt Snedeker,288.7
2012,Webb Simpson,288.6
2012,Blake Adams,288.4
2012,John Huh,288.3
2012,Matt Bettencourt,288.2
2012,J.J. Henry,288.1
2012,Kevin Kisner,287.9
2012,Hunter Haas,287.6
2012,Ryan Moore,287.6
2012,Freddie Jacobson,287.4
2012,Rory Sabbatini,287.4
2012,Steve Wheatcroft,286.9
2012,Ben Crane,286.8
2012,Billy Mayfair,286.8
2012,Robert Allenby,286.7
2012,David Hearn,286.7
2012,Chris Stroud,286.6
2012,Jonas Blixt,286.3
2012,Matt Kuchar,286.2
2012,Vaughn Taylor,286
2012,Marco Dawson,285.9
2012,Dicky Pride,285.9
2012,Russell Knox,285.8
2012,Sung Kang,285.7
2012,Richard Lee,285.6
2012,Charlie Wi,285.6
2012,Matt Every,285.5
2012,Graeme McDowell,285.5
2012,Tommy Biershenk,285.4
2012,William McGirt,285.4
2012,Steve Stricker,285.4
2012,Jeff Maggert,285.3
2012,Cameron Beckman,285.2
2012,Bob Estes,285.2
2012,Arjun Atwal,285.1
2012,Ian Poulter,285
2012,Y.E. Yang,284.9
2012,Alexandre Rocha,284.6
2012,Kris Blanks,284.5
2012,Michael Bradley,284.5
2012,"Ted Potter, Jr.",284.5
2012,Kyle Thompson,284.2
2012,D.A. Points,284
2012,Johnson Wagner,284
2012,Nathan Green,283.8
2012,Stephen Ames,283.7
2012,Spencer Levin,283.7
2012,Brendon Todd,283.6
2012,Michael Thompson,283.4
2012,Stuart Appleby,283.3
2012,Ken Duke,282.6
2012,Chez Reavie,282.5
2012,K.J. Choi,282.3
2012,Greg Chalmers,282
2012,Gary Christian,281.9
2012,Kevin Na,281.5
2012,Scott Dunlap,281.4
2012,John Mallinger,281.4
2012,Zach Johnson,281.1
2012,Rocco Mediate,280.7
2012,Luke Donald,280.1
2012,Jim Furyk,280
2012,Justin Leonard,279.4
2012,Patrick Sheehan,279.3
2012,Jason Bohn,279.2
2012,Heath Slocum,278.9
2012,David Mathis,278.1
2012,Brian Gay,277.7
2012,Bryce Molder,277.5
2012,Brian Davis,277.1
2012,Tim Clark,276.7
2012,Ryuji Imada,276.4
2012,Jerry Kelly,276.1
2012,Mark Wilson,276
2012,David Toms,275.5
2012,Billy Hurley III,275.3
2012,Ben Curtis,274.8
2012,Tom Pernice Jr.,273.9
2012,Chris DiMarco,273
2012,Colt Knost,272.5
2012,Gavin Coles,271.2
2012,Nick O'Hern,268.9
2011,J.B. Holmes,318.4
2011,Bubba Watson,314.9
2011,Dustin Johnson,314.2
2011,Robert Garrigus,313.4
2011,Gary Woodland,310.5
2011,Steven Bowditch,308.3
2011,Scott Piercy,305.4
2011,Jhonattan Vegas,304.9
2011,Kyle Stanley,304.6
2011,Will Strickler,304.1
2011,Scott Stallings,303.7
2011,Tag Ridings,303.3
2011,Martin Laird,303
2011,Jason Day,302.6
2011,Josh Teater,302.3
2011,Nick Watney,301.9
2011,Harrison Frazar,301.8
2011,Jim Herman,301.7
2011,Ángel Cabrera,301.6
2011,Keegan Bradley,300.7
2011,Troy Matteson,300.2
2011,Charley Hoffman,299.8
2011,Phil Mickelson,299.8
2011,Adam Scott,299.7
2011,Rickie Fowler,299.5
2011,Zack Miller,299.5
2011,Ryan Palmer,299.5
2011,Sergio Garcia,299.2
2011,Robert Karlsson,299.2
2011,Jimmy Walker,298.8
2011,Alex Prugh,298.6
2011,D.J. Trahan,298.6
2011,James Driscoll,298.5
2011,Brandt Jobe,298.5
2011,Davis Love III,298.5
2011,Scott Gutschewski,298
2011,Derek Lamely,297.9
2011,Bobby Gates,297.4
2011,Bo Van Pelt,297.4
2011,Charles Howell III,297.3
2011,John Merrick,297.2
2011,Michael Putnam,297.2
2011,Charl Schwartzel,297
2011,Chris Couch,296.8
2011,Jim Renner,296.8
2011,Tommy Gainey,296.7
2011,John Rollins,296.7
2011,Bill Haas,296.6
2011,Boo Weekley,296.6
2011,David Duval,296.3
2011,Aaron Baddeley,296.2
2011,Webb Simpson,296.2
2011,Bio Kim,296.1
2011,Marc Leishman,296
2011,Kevin Chappell,295.8
2011,Chris Kirk,295.7
2011,Joseph Bramlett,295.6
2011,Jeff Overton,295.3
2011,Steve Marino,295.2
2011,George McNeill,295
2011,Padraig Harrington,294.7
2011,Andres Romero,294.7
2011,Lucas Glover,294.6
2011,Sean O'Hair,294.6
2011,Camilo Villegas,294.4
2011,Vijay Singh,294.3
2011,Cameron Tringale,294.3
2011,Sung Kang,294.2
2011,Anthony Kim,294.2
2011,Matt Jones,293.9
2011,Chez Reavie,293.5
2011,Ricky Barnes,293.3
2011,John Senden,293.3
2011,Kevin Stadler,293.2
2011,Andres Gonzales,293.1
2011,Roland Thatcher,293.1
2011,Brendan Steele,292.8
2011,Rory Sabbatini,292.5
2011,Martin Piller,292.2
2011,Blake Adams,292.1
2011,Stewart Cink,291.8
2011,Tim Herron,291.8
2011,Carl Pettersson,291.8
2011,Jonathan Byrd,291.6
2011,Hunter Mahan,291.6
2011,Scott McCarron,291.6
2011,Joe Ogilvie,291.6
2011,Rod Pampling,291.6
2011,Bill Lunde,291.5
2011,Pat Perez,291.4
2011,Chris Stroud,291.2
2011,Chad Campbell,291.1
2011,J.J. Henry,291.1
2011,Billy Horschel,291
2011,Michael Thompson,291
2011,David Hearn,290.9
2011,Alexandre Rocha,290.9
2011,Michael Bradley,290.7
2011,Justin Rose,290.6
2011,Robert Allenby,290.2
2011,D.J. Brigman,290.2
2011,Y.E. Yang,290.2
2011,Tom Gillis,290.1
2011,Lee Janzen,290.1
2011,Ryan Moore,290.1
2011,Geoff Ogilvy,290
2011,Retief Goosen,289.9
2011,William McGirt,289.9
2011,Ben Martin,289.5
2011,Graeme McDowell,289.5
2011,Kevin Streelman,289.2
2011,Briny Baird,289.1
2011,Steve Stricker,288.8
2011,Hunter Haas,288.5
2011,Trevor Immelman,288.5
2011,Fabián Gómez,288.4
2011,Matt Bettencourt,288.3
2011,Ernie Els,288.1
2011,Brendon de Jonge,287.8
2011,Woody Austin,287.6
2011,Stuart Appleby,287.5
2011,Freddie Jacobson,287.4
2011,D.A. Points,287.4
2011,Brandt Snedeker,287.2
2011,Jason Dufner,286.8
2011,Troy Merritt,286.8
2011,Spencer Levin,286.3
2011,Matt Kuchar,286.2
2011,Rich Beem,286.1
2011,Jarrod Lyle,286.1
2011,Shaun Micheel,286.1
2011,Justin Hicks,286
2011,Charlie Wi,285.8
2011,K.J. Choi,285.6
2011,Steve Elkington,285.4
2011,Matt McQuillan,285.4
2011,Nathan Green,285
2011,Kent Jones,285
2011,Kris Blanks,284.9
2011,Jason Bohn,284.9
2011,Ben Crane,284.9
2011,Daniel Summerhays,284.9
2011,Arjun Atwal,284.8
2011,Mark Wilson,284.8
2011,Cameron Beckman,284.3
2011,Kevin Kisner,284.3
2011,Luke Donald,284.1
2011,Vaughn Taylor,284.1
2011,Paul Stankowski,283.9
2011,Stephen Ames,283.8
2011,Joe Durant,283.6
2011,Ryuji Imada,283.4
2011,Brian Davis,283.3
2011,Billy Mayfair,283.3
2011,Ian Poulter,282.8
2011,Marc Turnesa,282.8
2011,J.P. Hayes,282.7
2011,Aron Price,282.6
2011,Steve Flesch,282.5
2011,Johnson Wagner,282.2
2011,David Mathis,282
2011,Bryce Molder,282
2011,Heath Slocum,281.9
2011,Jim Furyk,281.4
2011,Nate Smith,281.2
2011,Tim Petrovic,280.5
2011,Alex Cejka,280.3
2011,Shane Bertsch,280.1
2011,Justin Leonard,280.1
2011,Kevin Na,279.8
2011,Garrett Willis,279.7
2011,Greg Chalmers,279.6
2011,Michael Connell,279.5
2011,Chris Riley,279.3
2011,David Toms,279.1
2011,Colt Knost,279
2011,Zach Johnson,278.2
2011,Chris DiMarco,277.9
2011,Dean Wilson,276.8
2011,Ben Curtis,276.7
2011,Richard Johnson,276.6
2011,Nick O'Hern,276.3
2011,Jerry Kelly,275.6
2011,Rocco Mediate,275.5
2011,Paul Goydos,274.8
2011,Brian Gay,269.8
2010,Robert Garrigus,315.5
2010,Bubba Watson,309.8
2010,Dustin Johnson,308.5
2010,Brett Wetterich,307.3
2010,J.B. Holmes,307.2
2010,John Daly,305.7
2010,Graham DeLaet,305.7
2010,Ángel Cabrera,304.5
2010,Charles Warren,302.5
2010,D.J. Trahan,301.1
2010,Martin Flores,300.7
2010,Rory McIlroy,300
2010,Phil Mickelson,299.1
2010,Aaron Baddeley,298.9
2010,Jason Day,298.2
2010,Charley Hoffman,298.2
2010,Davis Love III,297.7
2010,Jeff Overton,297.3
2010,Scott Piercy,296.8
2010,Martin Laird,296.5
2010,Nick Watney,296.5
2010,Troy Matteson,296.3
2010,Jarrod Lyle,296.2
2010,Andres Romero,296
2010,Daniel Chopra,295.9
2010,Ryan Palmer,295.8
2010,Lucas Glover,295.7
2010,Alex Prugh,295.7
2010,Garth Mulroy,295.6
2010,John Rollins,295.5
2010,Marc Leishman,295
2010,Cameron Tringale,294.5
2010,Adam Scott,294.4
2010,Charles Howell III,294.3
2010,Paul Casey,294.2
2010,Matt Bettencourt,294
2010,Derek Lamely,294
2010,Cameron Percy,294
2010,James Driscoll,293.9
2010,Mathias Grönberg,293.7
